,Num,power_d,power_u,speed_d,speed_u
0,1.0,0.0,0.0,0.0,0.0
1,2.0,8.67166605273,21.9728133963,0.025025025025,0.025025025025
2,3.0,17.2472118962,43.7621759278,0.0500500500501,0.0500500500501
3,4.0,25.7266375303,65.3680875944,0.0750750750751,0.0750750750751
4,5.0,34.1099429552,86.7905483963,0.1001001001,0.1001001001
5,6.0,42.3971281708,108.029558333,0.125125125125,0.125125125125
6,7.0,50.5881931771,129.085117406,0.15015015015,0.15015015015
7,8.0,58.6831379741,149.957225613,0.175175175175,0.175175175175
8,9.0,66.6819625619,170.645882956,0.2002002002,0.2002002002
9,10.0,74.5846669403,191.151089434,0.225225225225,0.225225225225
10,11.0,82.3912511095,211.472845047,0.25025025025,0.25025025025
11,12.0,90.1017150694,231.611149795,0.275275275275,0.275275275275
12,13.0,97.71605882,251.566003679,0.3003003003,0.3003003003
13,14.0,105.234282361,271.337406698,0.325325325325,0.325325325325
14,15.0,112.656385693,290.925358851,0.35035035035,0.35035035035
15,16.0,119.982368816,310.329860141,0.375375375375,0.375375375375
16,17.0,127.21223173,329.550910565,0.4004004004,0.4004004004
17,18.0,134.345974434,348.588510125,0.425425425425,0.425425425425
18,19.0,141.383596929,367.442658819,0.45045045045,0.45045045045
19,20.0,148.325099214,386.113356649,0.475475475475,0.475475475475
20,21.0,155.170481291,404.600603614,0.500500500501,0.500500500501
21,22.0,161.919743158,422.904399715,0.525525525526,0.525525525526
22,23.0,168.572884815,441.02474495,0.550550550551,0.550550550551
23,24.0,175.129906264,458.961639321,0.575575575576,0.575575575576
24,25.0,181.590807503,476.715082827,0.600600600601,0.600600600601
25,26.0,187.955588533,494.285075468,0.625625625626,0.625625625626
26,27.0,194.224249354,511.671617245,0.650650650651,0.650650650651
27,28.0,200.396789965,528.874708156,0.675675675676,0.675675675676
28,29.0,206.473210367,545.894348203,0.700700700701,0.700700700701
29,30.0,212.45351056,562.730537385,0.725725725726,0.725725725726
30,31.0,218.337690543,579.383275702,0.750750750751,0.750750750751
31,32.0,224.125750317,595.852563155,0.775775775776,0.775775775776
32,33.0,229.817689882,612.138399742,0.800800800801,0.800800800801
33,34.0,235.413509238,628.240785465,0.825825825826,0.825825825826
34,35.0,240.913208384,644.159720323,0.850850850851,0.850850850851
